,H3_cban_hc8_gallezot,GABAa-bz_flumazenil_hc16_norgaard,CB1_FMPEPd2_hc22_laurikainen,CB1_omar_hc77_normandin,VAChT_feobv_hc18_aghourian_sum,5HT2a_alt_hc19_savli,5HTT_dasb_hc100_beliveau,D2_raclopride_hc7_alakurtti,5HT2a_mdl_hc3_talbot,5HT2a_cimbi_hc29_beliveau,5HT4_sb20_hc59_beliveau,DAT_fepe2i_hc6_sasaki,VAChT_feobv_hc4_tuominen,MU_carfentanil_hc204_kantonen,NAT_MRB_hc77_ding,D2_flb457_hc37_smith,A4B2_flubatine_hc30_hillmer,GABAa_flumazenil_hc6_dukart,NMDA_ge179_hc29_galovic,D2_fallypride_hc49_jaworska,5HTT_dasb_hc30_savli,5HT1a_cumi_hc8_beliveau,5HT1b_p943_hc22_savli,VAChT_feobv_hc5_bedard_sum,5HT1a_way_hc36_savli,mGluR5_abp_hc22_rosaneto,mGluR5_abp_hc28_dubois,mGluR5_abp_hc73_smart,D1_SCH23390_hc13_kaller,MU_carfentanil_hc39_turtonen,DAT_fpcit_hc174_dukart_spect,NAT_MRB_hc10_hesse,5HT1b_az_hc36_beliveau,5HT1b_p943_hc65_gallezot,M1_lsn_hc24_naganawa,D2_flb457_hc55_sandiego,5HT6_gsk_hc30_radhakrishnan
Precentral_L,0.3641668087614597,0.5591371425467232,0.8177875829361995,0.7102047553110541,0.2041315910179635,0.579718034132202,0.0669339122110827,0.2628102166164933,0.4088624016472256,0.4410817325104393,0.0796736605343654,0.0229357945569123,0.2004489832307334,0.2605137553934364,0.2949573778261845,0.0507137000142326,0.4527725794475362,0.6480970249645638,0.6479181131067584,0.0382134411080109,0.0619980165097945,0.2254904815364353,0.6938796335786799,0.1967502150445106,0.3214944368919412,0.7504107518886327,0.7666069031156146,0.5844920835145812,0.1118963935090087,0.4680214346342514,0.283369033910445,0.3200713346962984,0.2213212590924078,0.5105655119135954,0.4784224974025536,0.0559117382229104,0.2370984834016972
Precentral_R,0.3733805298556948,0.6079916623576777,0.8563556490423476,0.7707985356843254,0.1807682457672,0.6987954412150221,0.0715548320484384,0.2572189203744522,0.4953617810161079,0.5773851039208778,0.1109838567505781,0.0246814923816066,0.1786178256367686,0.4057256560203408,-0.1573268371739322,0.0792936839736529,0.4701969883958667,0.6525225742676427,0.606971114802839,0.0421100196264674,0.0497844546828408,0.2974990328792091,0.7214681374532893,0.1837044066898047,0.4169848007810142,0.8035244960332429,0.8209724145748354,0.6281217146868494,0.1242624761411189,0.6145241862785438,0.2690268729090746,0.2603827833261047,0.2539068114031005,0.5017451193265261,0.5017103138357863,0.071478540301734,0.3532006580828964
Frontal_Sup_L,0.3835904301788289,0.5833443522734361,0.8934936894315728,0.7545177912772449,0.1774285307151541,0.7139758598458251,0.0713201141891016,0.2640888054271671,0.4824666215251573,0.5977911420513597,0.1116922430330515,0.0102442752820843,0.1800573131514686,0.4285651806212769,-0.160574349943014,0.0702963340030799,0.456738361469504,0.6763763549316175,0.6199214213494983,0.0433618848227777,0.0560131288686369,0.3076560580769548,0.7390963697986691,0.1833761773872413,0.4277413621118925,0.8002950570191466,0.8258990943791007,0.6362308186134532,0.1384614562864339,0.6576124104309757,0.2836575820877974,0.2325493803925485,0.2641351622562906,0.5273561088177713,0.5159525139830128,0.0644135142983694,0.2975650967427065
Frontal_Sup_R,0.3866231330323029,0.7990591179885036,0.8989055015976278,0.8140364434762821,0.2078016100843194,0.8410189477198665,0.1222361039498055,0.2740758244702047,0.79952819883568,0.83796945950296,0.1682562580846755,0.0466029810833931,0.2191789677417923,0.5710903649102567,-0.1087046627156098,0.1121151495005109,0.44612533687744,0.8166889519938973,0.7367900915469475,0.0615921066989828,0.1202502129334694,0.5039004697571214,0.7698787504429262,0.2271100985034089,0.576197921276043,0.8719329591563071,0.845723419402052,0.6348221184249476,0.2749615430128548,0.7265071747029709,0.3586538280294429,0.1879278330158124,0.3333797938213249,0.5646927590428449,0.5467641432562128,0.10818866159337,0.3687777987666827
Frontal_Sup_Orb_L,0.3817575547064953,0.673532291262175,0.8795884699660621,0.8041660704718515,0.2025523536787691,0.8080292288278975,0.1306614494502077,0.2610671860443453,0.6049013957930491,0.9082126261744596,0.1757283875572223,0.0240201182691058,0.2030832130138179,0.5634280068822906,-0.1820728724214618,0.1097762268607264,0.4569036766282522,0.8141523832254737,0.7194578978940932,0.0590020394908268,0.1109623582487675,0.5306612119307988,0.7216616957371209,0.2176825438586947,0.5492240843112598,0.8804932939923974,0.8633116285730892,0.6437097324181561,0.261322332171112,0.7188830591286335,0.3495222945106819,0.1857456147915466,0.3582748223556131,0.5569923672873586,0.5667112327518758,0.0937239279425065,0.2868218911510777
Frontal_Sup_Orb_R,0.391393686780974,0.6374581458000937,0.9474841104518692,0.8038845582270576,0.1961862691373582,0.8487567611078198,0.0797603738602715,0.276862515101371,0.5433987393987906,0.6337033390322007,0.1217222681632808,0.0328116800002345,0.1869673896195609,0.4720325347676802,-0.003205152778739,0.0859388563489794,0.4968901715444634,0.7553438126359167,0.636743806056676,0.0485809853811588,0.0659071466886437,0.3161870330807135,0.8688355011814074,0.1964670882165499,0.4450730551716049,0.8613413124308948,0.8792378630005552,0.7216770800666877,0.1501631254450403,0.6659558212207477,0.2913604463014422,0.2278404937178489,0.2772071182400707,0.6101878873141621,0.5700833204392995,0.0815973818485704,0.4257398704315688
Frontal_Mid_L,0.3773450798362226,0.6017251515523426,0.9723583301111228,0.7784278282693381,0.1824810822151645,0.8293886875219489,0.0795653492661101,0.2680427606951142,0.4867152493758139,0.6743006952164147,0.1260526321505306,0.0091116471144338,0.1867819995346289,0.4663369310336189,-0.1053724316398528,0.0677785576172238,0.454103053576105,0.7484120999670787,0.6456624552004686,0.047579723953297,0.0760304849158115,0.3413929704612166,0.8659662287193056,0.1927785926775077,0.4508877537781552,0.8609767240399792,0.8618317220668952,0.6941786197480099,0.1586342455835787,0.691240150526549,0.29214251818924,0.2182683283405396,0.2960192462518347,0.6164440813466042,0.5685135534934838,0.0667349272482969,0.2796178531625436
Frontal_Mid_R,0.3697200416811393,0.6763359442118373,0.9404311897040892,0.8321256886491523,0.2144415580236787,0.9109274696412756,0.1089505317770898,0.2582946089912947,0.6226856897020221,0.847410744714734,0.1652741919743396,0.0499838650325481,0.1955863916316066,0.5417699474849219,-0.0234613646889812,0.0982889407190949,0.4658140506933458,0.7960563956108739,0.7151643269716994,0.0562494459960618,0.0877456121801557,0.4681017316338161,0.8489610609479251,0.2103626726908802,0.5074732547704601,0.9095459741831304,0.8828312221017354,0.6708767174963192,0.2343354716037501,0.6932915548172067,0.3114966074444336,0.1735454826361167,0.3423446373508004,0.5926102617807042,0.5671922897444276,0.1027449329127329,0.3994852874695776
Frontal_Mid_Orb_L,0.393460650267875,0.654482508857739,0.9099570131686876,0.8222075023507615,0.2041634558336581,0.8041847164684767,0.1121607606642022,0.2345360116502444,0.5059563652759927,0.920968454462732,0.1723119930729155,0.022819533137653,0.1782830580874135,0.5082810373409022,-0.0930492861270679,0.1021019522449759,0.4673519944769787,0.7439310525312933,0.6597178122408235,0.0582018741588954,0.0852919908582958,0.4840568563375083,0.682545524715303,0.2007007368386,0.4660774375887855,0.9042965502976824,0.8730667291328768,0.6284706707225559,0.2250813000567879,0.6789132147464102,0.2912279783986814,0.1693977804989191,0.3807827280275966,0.5835637825371013,0.6297242798230547,0.08281991520672,0.2399811422761752
Frontal_Mid_Orb_R,0.3942231625038155,0.6280432092679815,0.8957192872261227,0.7855538453259009,0.2135242092157446,0.8273914423719557,0.0877358829645244,0.2709730419477797,0.607267252989203,0.6150101308195862,0.1218015186738357,0.0440712901874298,0.1957063412176372,0.4460792396303112,0.141578579805127,0.0877538235818319,0.4905556110372466,0.731829801175293,0.6895112606318344,0.0564002708899142,0.0815372900849194,0.3412848067357748,0.8356055562320703,0.206699349475931,0.4843890755947537,0.8475414648500804,0.8790571594721883,0.8037761474212741,0.1646997784148385,0.6614671701783063,0.3342820677063657,0.215061106993102,0.2771769773971746,0.6261716828929571,0.5514195235887028,0.0913276703500204,0.4588387680758294
