roi_index,roi_label,hemisphere,aal_base_label,rsn_7,rsn_source,cyto_class,cyto_source,include_in_cortical_only,notes
1,Precentral_L,L,Precentral,,,,,1,
2,Frontal_Sup_L,L,Frontal_Sup,,,,,1,
3,Frontal_Sup_Orb_L,L,Frontal_Sup_Orb,,,,,1,
4,Frontal_Mid_L,L,Frontal_Mid,,,,,1,
5,Frontal_Mid_Orb_L,L,Frontal_Mid_Orb,,,,,1,
6,Frontal_Inf_Oper_L,L,Frontal_Inf_Oper,,,,,1,
7,Frontal_Inf_Tri_L,L,Frontal_Inf_Tri,,,,,1,
8,Frontal_Inf_Orb_L,L,Frontal_Inf_Orb,,,,,1,
9,Rolandic_Oper_L,L,Rolandic_Oper,,,,,1,
10,Supp_Motor_Area_L,L,Supp_Motor_Area,,,,,1,
11,Olfactory_L,L,Olfactory,,,,,1,
12,Frontal_Sup_Medial_L,L,Frontal_Sup_Medial,,,,,1,
13,Frontal_Med_Orb_L,L,Frontal_Med_Orb,,,,,1,
14,Rectus_L,L,Rectus,,,,,1,
15,Insula_L,L,Insula,,,,,1,
16,Cingulum_Ant_L,L,Cingulum_Ant,,,,,1,
17,Cingulum_Mid_L,L,Cingulum_Mid,,,,,1,
18,Cingulum_Post_L,L,Cingulum_Post,,,,,1,
19,Hippocampus_L,L,Hippocampus,,,,,0,
20,ParaHippocampal_L,L,ParaHippocampal,,,,,1,
21,Amygdala_L,L,Amygdala,,,,,0,
22,Calcarine_L,L,Calcarine,,,,,1,
23,Cuneus_L,L,Cuneus,,,,,1,
24,Lingual_L,L,Lingual,,,,,1,
25,Occipital_Sup_L,L,Occipital_Sup,,,,,1,
26,Occipital_Mid_L,L,Occipital_Mid,,,,,1,
27,Occipital_Inf_L,L,Occipital_Inf,,,,,1,
28,Fusiform_L,L,Fusiform,,,,,1,
29,Postcentral_L,L,Postcentral,,,,,1,
30,Parietal_Sup_L,L,Parietal_Sup,,,,,1,
31,Parietal_Inf_L,L,Parietal_Inf,,,,,1,
32,SupraMarginal_L,L,SupraMarginal,,,,,1,
33,Angular_L,L,Angular,,,,,1,
34,Precuneus_L,L,Precuneus,,,,,1,
35,Paracentral_Lobule_L,L,Paracentral_Lobule,,,,,1,
36,Caudate_L,L,Caudate,,,,,0,
37,Putamen_L,L,Putamen,,,,,0,
38,Pallidum_L,L,Pallidum,,,,,0,
39,Thalamus_L,L,Thalamus,,,,,0,
40,Heschl_L,L,Heschl,,,,,1,
41,Temporal_Sup_L,L,Temporal_Sup,,,,,1,
42,Temporal_Pole_Sup_L,L,Temporal_Pole_Sup,,,,,1,
43,Temporal_Mid_L,L,Temporal_Mid,,,,,1,
44,Temporal_Pole_Mid_L,L,Temporal_Pole_Mid,,,,,1,
45,Temporal_Inf_L,L,Temporal_Inf,,,,,1,
46,Temporal_Inf_R,R,Temporal_Inf,,,,,1,
47,Temporal_Pole_Mid_R,R,Temporal_Pole_Mid,,,,,1,
48,Temporal_Mid_R,R,Temporal_Mid,,,,,1,
49,Temporal_Pole_Sup_R,R,Temporal_Pole_Sup,,,,,1,
50,Temporal_Sup_R,R,Temporal_Sup,,,,,1,
51,Heschl_R,R,Heschl,,,,,1,
52,Thalamus_R,R,Thalamus,,,,,0,
53,Pallidum_R,R,Pallidum,,,,,0,
54,Putamen_R,R,Putamen,,,,,0,
55,Caudate_R,R,Caudate,,,,,0,
56,Paracentral_Lobule_R,R,Paracentral_Lobule,,,,,1,
57,Precuneus_R,R,Precuneus,,,,,1,
58,Angular_R,R,Angular,,,,,1,
59,SupraMarginal_R,R,SupraMarginal,,,,,1,
60,Parietal_Inf_R,R,Parietal_Inf,,,,,1,
61,Parietal_Sup_R,R,Parietal_Sup,,,,,1,
62,Postcentral_R,R,Postcentral,,,,,1,
63,Fusiform_R,R,Fusiform,,,,,1,
64,Occipital_Inf_R,R,Occipital_Inf,,,,,1,
65,Occipital_Mid_R,R,Occipital_Mid,,,,,1,
66,Occipital_Sup_R,R,Occipital_Sup,,,,,1,
67,Lingual_R,R,Lingual,,,,,1,
68,Cuneus_R,R,Cuneus,,,,,1,
69,Calcarine_R,R,Calcarine,,,,,1,
70,Amygdala_R,R,Amygdala,,,,,0,
71,ParaHippocampal_R,R,ParaHippocampal,,,,,1,
72,Hippocampus_R,R,Hippocampus,,,,,0,
73,Cingulum_Post_R,R,Cingulum_Post,,,,,1,
74,Cingulum_Mid_R,R,Cingulum_Mid,,,,,1,
75,Cingulum_Ant_R,R,Cingulum_Ant,,,,,1,
76,Insula_R,R,Insula,,,,,1,
77,Rectus_R,R,Rectus,,,,,1,
78,Frontal_Med_Orb_R,R,Frontal_Med_Orb,,,,,1,
79,Frontal_Sup_Medial_R,R,Frontal_Sup_Medial,,,,,1,
80,Olfactory_R,R,Olfactory,,,,,1,
81,Supp_Motor_Area_R,R,Supp_Motor_Area,,,,,1,
82,Rolandic_Oper_R,R,Rolandic_Oper,,,,,1,
83,Frontal_Inf_Orb_R,R,Frontal_Inf_Orb,,,,,1,
84,Frontal_Inf_Tri_R,R,Frontal_Inf_Tri,,,,,1,
85,Frontal_Inf_Oper_R,R,Frontal_Inf_Oper,,,,,1,
86,Frontal_Mid_Orb_R,R,Frontal_Mid_Orb,,,,,1,
87,Frontal_Mid_R,R,Frontal_Mid,,,,,1,
88,Frontal_Sup_Orb_R,R,Frontal_Sup_Orb,,,,,1,
89,Frontal_Sup_R,R,Frontal_Sup,,,,,1,
90,Precentral_R,R,Precentral,,,,,1,
